,graph_name,reordering_strategy,system,infrastructure,speedup,MeanDegree,Clustering,graph_type
0,rmat-22-5,metis-128,dgl,cuda,0.9805507607081188,23.48,0.04,rmat
1,rmat-22-5,metis-16,dgl,cuda,0.9965241088949314,23.48,0.04,rmat
2,rmat-22-5,metis-1024,dgl,cuda,0.9878033492261825,23.48,0.04,rmat
3,rmat-22-5,slashburn,dgl,cuda,1.030719243833995,23.48,0.04,rmat
4,rmat-22-5,HubSort,dgl,cuda,1.0197082790635528,23.48,0.04,rmat
5,rmat-22-5,dfs,dgl,cuda,0.885088666487906,23.48,0.04,rmat
6,rmat-22-5,metis-65536,dgl,cuda,0.8596279456065764,23.48,0.04,rmat
7,rmat-22-5,minla,dgl,cuda,0.9825860640240691,23.48,0.04,rmat
8,rmat-22-5,rcm,dgl,cuda,1.0405324813631494,23.48,0.04,rmat
9,rmat-22-5,bfs,dgl,cuda,0.9970203473540232,23.48,0.04,rmat
10,rmat-22-5,ldg,dgl,cuda,1.0090217737038394,23.48,0.04,rmat
11,rmat-22-5,metis-8192,dgl,cuda,1.0008276551546098,23.48,0.04,rmat
12,rmat-22-5,HubCluster,dgl,cuda,0.9208859566446728,23.48,0.04,rmat
13,rmat-22-5,DegSort,dgl,cuda,1.0340222158253882,23.48,0.04,rmat
14,rmat-22-5,gorder,dgl,cuda,0.9228726117296752,23.48,0.04,rmat
15,rmat-22-5,rabbit,dgl,cuda,1.0182035698505179,23.48,0.04,rmat
16,rmat-22-5,metis-16,pyg,cuda,1.0280609485386778,23.48,0.04,rmat
17,rmat-22-5,metis-1024,pyg,cuda,1.0333777451070494,23.48,0.04,rmat
18,rmat-22-5,gorder,pyg,cuda,1.1389511066700648,23.48,0.04,rmat
19,rmat-22-5,HubSort,pyg,cuda,1.110649329273313,23.48,0.04,rmat
20,rmat-22-5,HubCluster,pyg,cuda,1.1235538786357004,23.48,0.04,rmat
21,rmat-22-5,bfs,pyg,cuda,1.140556675833603,23.48,0.04,rmat
22,rmat-22-5,rcm,pyg,cuda,1.1335421986292173,23.48,0.04,rmat
23,rmat-22-5,metis-128,pyg,cuda,1.01354396041805,23.48,0.04,rmat
24,rmat-22-5,DegSort,pyg,cuda,1.125993081594137,23.48,0.04,rmat
25,rmat-22-5,metis-65536,pyg,cuda,1.0586798331905605,23.48,0.04,rmat
26,rmat-22-5,rabbit,pyg,cuda,1.0301987038069014,23.48,0.04,rmat
27,rmat-22-5,metis-8192,pyg,cuda,1.0165933219939116,23.48,0.04,rmat
28,rmat-22-5,minla,pyg,cuda,1.048567179625841,23.48,0.04,rmat
29,rmat-22-5,dfs,pyg,cuda,1.1268241852014542,23.48,0.04,rmat
30,rmat-22-5,ldg,pyg,cuda,0.9731353916842027,23.48,0.04,rmat
31,rmat-22-5,slashburn,pyg,cuda,1.1610610302303466,23.48,0.04,rmat
32,rmat-22-5,ldg,pyg,cpu,1.0647493524076397,23.48,0.04,rmat
33,rmat-22-5,DegSort,pyg,cpu,0.9183782934603062,23.48,0.04,rmat
34,rmat-22-5,metis-16,pyg,cpu,0.9573316054055019,23.48,0.04,rmat
35,rmat-22-5,bfs,pyg,cpu,0.8753279179376274,23.48,0.04,rmat
36,rmat-22-5,slashburn,pyg,cpu,0.8761165539770924,23.48,0.04,rmat
37,rmat-22-5,metis-65536,pyg,cpu,0.9122376749096714,23.48,0.04,rmat
38,rmat-22-5,dfs,pyg,cpu,0.914567388870295,23.48,0.04,rmat
39,rmat-22-5,rcm,pyg,cpu,0.875805410345008,23.48,0.04,rmat
40,rmat-22-5,HubCluster,pyg,cpu,0.8672975246874474,23.48,0.04,rmat
41,rmat-22-5,metis-8192,pyg,cpu,0.92249472330971,23.48,0.04,rmat
42,rmat-22-5,gorder,pyg,cpu,0.9064542557519473,23.48,0.04,rmat
43,rmat-22-5,metis-1024,pyg,cpu,0.9730000453600112,23.48,0.04,rmat
44,rmat-22-5,HubSort,pyg,cpu,0.9041155504663874,23.48,0.04,rmat
45,rmat-22-5,minla,pyg,cpu,0.8536058166572027,23.48,0.04,rmat
46,rmat-22-5,metis-128,pyg,cpu,0.9283291957283403,23.48,0.04,rmat
47,rmat-22-5,rabbit,pyg,cpu,1.005871649387107,23.48,0.04,rmat
48,rmat-22-5,HubSort,dgl,cpu,0.46097966813727054,23.48,0.04,rmat
49,rmat-22-5,rcm,dgl,cpu,0.5803690981506151,23.48,0.04,rmat
50,rmat-22-5,metis-128,dgl,cpu,0.948138074981991,23.48,0.04,rmat
51,rmat-22-5,DegSort,dgl,cpu,0.5557950065121234,23.48,0.04,rmat
52,rmat-22-5,bfs,dgl,cpu,0.47768275914634883,23.48,0.04,rmat
53,rmat-22-5,metis-65536,dgl,cpu,0.5211418523298503,23.48,0.04,rmat
54,rmat-22-5,metis-1024,dgl,cpu,0.886004316565823,23.48,0.04,rmat
55,rmat-22-5,HubCluster,dgl,cpu,0.4790807088527241,23.48,0.04,rmat
56,rmat-22-5,rabbit,dgl,cpu,0.9134881040115201,23.48,0.04,rmat
57,rmat-22-5,ldg,dgl,cpu,1.029368554089401,23.48,0.04,rmat
58,rmat-22-5,metis-16,dgl,cpu,1.2027040133161835,23.48,0.04,rmat
59,rmat-22-5,dfs,dgl,cpu,0.6708665415170433,23.48,0.04,rmat
60,rmat-22-5,metis-8192,dgl,cpu,0.7644140778283303,23.48,0.04,rmat
61,rmat-22-5,gorder,dgl,cpu,0.5575002094526024,23.48,0.04,rmat
62,rmat-22-5,slashburn,dgl,cpu,0.4578933862944139,23.48,0.04,rmat
63,rmat-22-5,minla,dgl,cpu,0.7076357236405869,23.48,0.04,rmat
64,watts-strogatz-V_3000000-K_40-P_0.4,bfs,pyg,cuda,1.2998124979687589,40.0,0.16,watts
65,watts-strogatz-V_3000000-K_40-P_0.4,metis-16,pyg,cuda,1.4920216542985356,40.0,0.16,watts
66,watts-strogatz-V_3000000-K_40-P_0.4,HubCluster,pyg,cuda,1.5218610035137428,40.0,0.16,watts
67,watts-strogatz-V_3000000-K_40-P_0.4,ldg,pyg,cuda,1.0359882628475738,40.0,0.16,watts
68,watts-strogatz-V_3000000-K_40-P_0.4,metis-8192,pyg,cuda,1.478631519886702,40.0,0.16,watts
69,watts-strogatz-V_3000000-K_40-P_0.4,metis-65536,pyg,cuda,1.4349736521133056,40.0,0.16,watts
70,watts-strogatz-V_3000000-K_40-P_0.4,metis-1024,pyg,cuda,1.4864486180639764,40.0,0.16,watts
71,watts-strogatz-V_3000000-K_40-P_0.4,DegSort,pyg,cuda,1.4380967966405944,40.0,0.16,watts
72,watts-strogatz-V_3000000-K_40-P_0.4,slashburn,pyg,cuda,1.5550631236311214,40.0,0.16,watts
73,watts-strogatz-V_3000000-K_40-P_0.4,rabbit,pyg,cuda,1.475673349215813,40.0,0.16,watts
74,watts-strogatz-V_3000000-K_40-P_0.4,minla,pyg,cuda,1.5469227094099032,40.0,0.16,watts
75,watts-strogatz-V_3000000-K_40-P_0.4,rcm,pyg,cuda,1.4171893283595915,40.0,0.16,watts
76,watts-strogatz-V_3000000-K_40-P_0.4,gorder,pyg,cuda,1.5083444117876472,40.0,0.16,watts
77,watts-strogatz-V_3000000-K_40-P_0.4,dfs,pyg,cuda,1.5493548477270715,40.0,0.16,watts
78,watts-strogatz-V_3000000-K_40-P_0.4,HubSort,pyg,cuda,1.4631091095859956,40.0,0.16,watts
79,watts-strogatz-V_3000000-K_40-P_0.4,metis-128,pyg,cuda,1.5012289833188839,40.0,0.16,watts
80,watts-strogatz-V_3000000-K_40-P_0.4,slashburn,dgl,cuda,1.3682888149220451,40.0,0.16,watts
81,watts-strogatz-V_3000000-K_40-P_0.4,rabbit,dgl,cuda,1.2799932722952247,40.0,0.16,watts
82,watts-strogatz-V_3000000-K_40-P_0.4,HubCluster,dgl,cuda,1.3525290339338751,40.0,0.16,watts
83,watts-strogatz-V_3000000-K_40-P_0.4,metis-8192,dgl,cuda,1.3450115105044722,40.0,0.16,watts
84,watts-strogatz-V_3000000-K_40-P_0.4,rcm,dgl,cuda,1.1677355135186194,40.0,0.16,watts
85,watts-strogatz-V_3000000-K_40-P_0.4,dfs,dgl,cuda,1.310703750154563,40.0,0.16,watts
86,watts-strogatz-V_3000000-K_40-P_0.4,metis-1024,dgl,cuda,1.3470778992372807,40.0,0.16,watts
87,watts-strogatz-V_3000000-K_40-P_0.4,DegSort,dgl,cuda,1.1334447170693975,40.0,0.16,watts
88,watts-strogatz-V_3000000-K_40-P_0.4,HubSort,dgl,cuda,1.252679027404373,40.0,0.16,watts
89,watts-strogatz-V_3000000-K_40-P_0.4,minla,dgl,cuda,1.337363132519266,40.0,0.16,watts
90,watts-strogatz-V_3000000-K_40-P_0.4,metis-128,dgl,cuda,1.3412733919912514,40.0,0.16,watts
91,watts-strogatz-V_3000000-K_40-P_0.4,bfs,dgl,cuda,1.1598206348120856,40.0,0.16,watts
92,watts-strogatz-V_3000000-K_40-P_0.4,metis-65536,dgl,cuda,1.2763630655832536,40.0,0.16,watts
93,watts-strogatz-V_3000000-K_40-P_0.4,gorder,dgl,cuda,1.3363124114999958,40.0,0.16,watts
94,watts-strogatz-V_3000000-K_40-P_0.4,ldg,dgl,cuda,1.0019393943485804,40.0,0.16,watts
95,watts-strogatz-V_3000000-K_40-P_0.4,metis-16,dgl,cuda,1.33778810463379,40.0,0.16,watts
96,watts-strogatz-V_3000000-K_40-P_0.4,rabbit,pyg,cpu,1.116456390366,40.0,0.16,watts
97,watts-strogatz-V_3000000-K_40-P_0.4,metis-16,pyg,cpu,1.1260845637254162,40.0,0.16,watts
98,watts-strogatz-V_3000000-K_40-P_0.4,gorder,pyg,cpu,1.1233274211524844,40.0,0.16,watts
99,watts-strogatz-V_3000000-K_40-P_0.4,bfs,pyg,cpu,1.0470247017422913,40.0,0.16,watts
100,watts-strogatz-V_3000000-K_40-P_0.4,dfs,pyg,cpu,1.1043280615464852,40.0,0.16,watts
101,watts-strogatz-V_3000000-K_40-P_0.4,metis-128,pyg,cpu,1.131446020520096,40.0,0.16,watts
102,watts-strogatz-V_3000000-K_40-P_0.4,metis-1024,pyg,cpu,1.1155597542146298,40.0,0.16,watts
103,watts-strogatz-V_3000000-K_40-P_0.4,HubSort,pyg,cpu,1.108214920236964,40.0,0.16,watts
104,watts-strogatz-V_3000000-K_40-P_0.4,rcm,pyg,cpu,1.0811983946480999,40.0,0.16,watts
105,watts-strogatz-V_3000000-K_40-P_0.4,HubCluster,pyg,cpu,1.1107033817461545,40.0,0.16,watts
106,watts-strogatz-V_3000000-K_40-P_0.4,metis-8192,pyg,cpu,1.1031903163253747,40.0,0.16,watts
107,watts-strogatz-V_3000000-K_40-P_0.4,slashburn,pyg,cpu,1.102979472490439,40.0,0.16,watts
108,watts-strogatz-V_3000000-K_40-P_0.4,minla,pyg,cpu,1.1080274128842822,40.0,0.16,watts
109,watts-strogatz-V_3000000-K_40-P_0.4,ldg,pyg,cpu,1.0218514521117332,40.0,0.16,watts
110,watts-strogatz-V_3000000-K_40-P_0.4,DegSort,pyg,cpu,1.0913956425044848,40.0,0.16,watts
111,watts-strogatz-V_3000000-K_40-P_0.4,metis-65536,pyg,cpu,1.1281834996357838,40.0,0.16,watts
112,watts-strogatz-V_3000000-K_40-P_0.4,metis-8192,dgl,cpu,1.3271793804870107,40.0,0.16,watts
113,watts-strogatz-V_3000000-K_40-P_0.4,metis-128,dgl,cpu,1.3843094205673079,40.0,0.16,watts
114,watts-strogatz-V_3000000-K_40-P_0.4,gorder,dgl,cpu,1.2588494543186222,40.0,0.16,watts
115,watts-strogatz-V_3000000-K_40-P_0.4,metis-65536,dgl,cpu,1.3776225945917693,40.0,0.16,watts
116,watts-strogatz-V_3000000-K_40-P_0.4,DegSort,dgl,cpu,1.0388337966945,40.0,0.16,watts
117,watts-strogatz-V_3000000-K_40-P_0.4,minla,dgl,cpu,1.16572704798592,40.0,0.16,watts
118,watts-strogatz-V_3000000-K_40-P_0.4,metis-16,dgl,cpu,1.25424856250678,40.0,0.16,watts
119,watts-strogatz-V_3000000-K_40-P_0.4,ldg,dgl,cpu,0.9833873294458926,40.0,0.16,watts
120,watts-strogatz-V_3000000-K_40-P_0.4,HubCluster,dgl,cpu,1.1455698155372827,40.0,0.16,watts
121,watts-strogatz-V_3000000-K_40-P_0.4,metis-1024,dgl,cpu,1.3549205854674138,40.0,0.16,watts
122,watts-strogatz-V_3000000-K_40-P_0.4,dfs,dgl,cpu,1.137920434401467,40.0,0.16,watts
123,watts-strogatz-V_3000000-K_40-P_0.4,rcm,dgl,cpu,1.0892272552779434,40.0,0.16,watts
124,watts-strogatz-V_3000000-K_40-P_0.4,rabbit,dgl,cpu,1.3138106095759916,40.0,0.16,watts
125,watts-strogatz-V_3000000-K_40-P_0.4,slashburn,dgl,cpu,1.1439198094847742,40.0,0.16,watts
126,watts-strogatz-V_3000000-K_40-P_0.4,bfs,dgl,cpu,1.0741340683408291,40.0,0.16,watts
127,watts-strogatz-V_3000000-K_40-P_0.4,HubSort,dgl,cpu,1.0478915282010401,40.0,0.16,watts
128,rmat-22-35,bfs,pyg,cuda,1.2235753443492396,96.93,0.13,rmat
129,rmat-22-35,metis-16,pyg,cuda,1.0445446273122947,96.93,0.13,rmat
130,rmat-22-35,metis-8192,pyg,cuda,1.0115702658512031,96.93,0.13,rmat
131,rmat-22-35,HubCluster,pyg,cuda,1.2500572753766157,96.93,0.13,rmat
132,rmat-22-35,gorder,pyg,cuda,1.2770537280282426,96.93,0.13,rmat
133,rmat-22-35,minla,pyg,cuda,1.0903014968770612,96.93,0.13,rmat
134,rmat-22-35,dfs,pyg,cuda,1.098133024474559,96.93,0.13,rmat
135,rmat-22-35,HubSort,pyg,cuda,1.2365301060568974,96.93,0.13,rmat
136,rmat-22-35,DegSort,pyg,cuda,1.2692165771288713,96.93,0.13,rmat
137,rmat-22-35,metis-1024,pyg,cuda,1.0097994549624336,96.93,0.13,rmat
138,rmat-22-35,rabbit,pyg,cuda,1.0108412170724423,96.93,0.13,rmat
139,rmat-22-35,ldg,pyg,cuda,0.9960249646315863,96.93,0.13,rmat
140,rmat-22-35,rcm,pyg,cuda,1.2719337774669635,96.93,0.13,rmat
141,rmat-22-35,metis-128,pyg,cuda,1.0183233959993399,96.93,0.13,rmat
142,rmat-22-35,slashburn,pyg,cuda,1.2870279054934355,96.93,0.13,rmat
143,rmat-22-35,metis-65536,pyg,cuda,1.0850792403830958,96.93,0.13,rmat
144,rmat-22-35,minla,dgl,cuda,1.021961077376455,96.93,0.13,rmat
145,rmat-22-35,rabbit,dgl,cuda,1.0077836742259954,96.93,0.13,rmat
146,rmat-22-35,gorder,dgl,cuda,1.0708320330709713,96.93,0.13,rmat
147,rmat-22-35,metis-16,dgl,cuda,0.9766594765204616,96.93,0.13,rmat
148,rmat-22-35,HubCluster,dgl,cuda,1.0549206195583705,96.93,0.13,rmat
149,rmat-22-35,DegSort,dgl,cuda,1.0738791236600582,96.93,0.13,rmat
150,rmat-22-35,ldg,dgl,cuda,0.985404529625682,96.93,0.13,rmat
151,rmat-22-35,rcm,dgl,cuda,1.004577913071608,96.93,0.13,rmat
152,rmat-22-35,metis-65536,dgl,cuda,1.0200412954912135,96.93,0.13,rmat
153,rmat-22-35,metis-1024,dgl,cuda,1.0106611833568102,96.93,0.13,rmat
154,rmat-22-35,bfs,dgl,cuda,1.0029860615877466,96.93,0.13,rmat
